id,lat,lon,name,cvegeo,pob_2010,imu2010,gmu2010
250,19.429057,-99.17966,250 DARWIN-MARIANO ESCOBEDO ,090160001068A,2346,-1.341191140169230,Muy bajo
253,19.425835,-99.177924,253 DANTE-TOLSTOI ,090160001068A,2346,-1.341191140169230,Muy bajo
467,19.440399,-99.186784,E467  LAGO MAYOR-LAGO ALBERTO,0901600010478,3347,-1.367722270714500,Muy bajo
476,19.442127,-99.184433,476 LAGO COMO-LAGUNA DE MAYRÁN,0901600010478,3347,-1.367722270714500,Muy bajo
196,19.438349,-99.192904,196 LAGO TANGANICA-AV. EJERCITO NACIONAL,0901600010571,1924,-1.125062689627350,Muy bajo
244,19.440885,-99.193315,244 MIGUEL DE CERVANTES SAAVEDRA-LAGO VICTORIA ,0901600010571,1924,-1.125062689627350,Muy bajo
245,19.43819,-99.19048,245 LAGO ONEGA-AV. EJERCITO NACIONAL ,0901600010571,1924,-1.125062689627350,Muy bajo
473,19.438143,-99.17519,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,0901600010590,696,-1.191350305729190,Muy bajo
199,19.437934,-99.197241,199 ANATOLE FRANCE-AV. EJERCITO NACIONAL,0901600010641,1835,-1.188824248908100,Muy bajo
202,19.43617,-99.198943,202 CALDERON DE LA BARCA-AV. HOMERO,0901600010641,1835,-1.188824248908100,Muy bajo
215,19.43384,-99.19968,215 EDGAR ALAN POE-HORACIO,0901600010641,1835,-1.188824248908100,Muy bajo
246,19.434147,-99.179835,246 LEIBNITZ-THIERS,0901600010694,1083,-1.361429897906910,Muy bajo
248,19.43175,-99.177399,248 SHAKESPEARE-LAFAYETTE ,0901600010694,1083,-1.361429897906910,Muy bajo
249,19.429877,-99.177569,249 SHAKESPEARE-DARWIN ,0901600010694,1083,-1.361429897906910,Muy bajo
466,19.44269,-99.19083,466  LAGO ONEGA-LAGO LADOGA,0901600010463,3524,-0.583618373138152,Medio
198,19.438168,-99.203888,198 SÓCRATES-EJERCITO NACIONAL ,0901600010637,3398,-1.233492678349890,Muy bajo
206,19.435798,-99.201419,206 MOLIERE-HOMERO ,0901600010637,3398,-1.233492678349890,Muy bajo
209,19.435478,-99.206359,209 SOLON-HORACIO ,0901600010637,3398,-1.233492678349890,Muy bajo
213,19.43432,-99.20632,213 SOLÓN-CICERÓN,0901600010637,3398,-1.233492678349890,Muy bajo
214,19.434353,-99.20322,214 PLATÓN-HORACIO,0901600010637,3398,-1.233492678349890,Muy bajo
219,19.433542,-99.207808,219 ESOPO-FC DE CUERNAVACA,0901600010637,3398,-1.233492678349890,Muy bajo
220,19.432655,-99.205727,220 PLINIO-PRESIDENTE MASARYK ,0901600010637,3398,-1.233492678349890,Muy bajo
205,19.435525,-99.184713,205 TAINE-HOMERO,0901600010675,2485,-1.092271790342280,Muy bajo
211,19.433607,-99.188528,211 NEWTON-HORACIO,0901600010675,2485,-1.092271790342280,Muy bajo
